epoch,acc,loss,val_acc,val_loss
0,0.72477645,0.5690790271759033,0.808519721031189,0.4970738887786865
1,0.81532466,0.4763586580753326,0.813856840133667,0.34719744324684143
2,0.81621826,0.46366063475608826,0.8178844451904297,0.5325531959533691
3,0.81766355,0.45322282910346984,0.8181663155555725,0.444042444229126
4,0.8218269,0.428119957447052,0.8229836821556091,0.3117213547229767
5,0.82406193,0.39881563663482666,0.8339847326278687,0.36547812819480896
6,0.8424434,0.3703858482837677,0.8509628176689148,0.2589609920978546
7,0.8502201,0.35814406752586364,0.8549789190292358,0.32574835419654846
8,0.851919,0.35134597003459933,0.8576268553733826,0.34773412346839905
9,0.85300034,0.3521466773748398,0.857792854309082,0.35917162895202637
10,0.85746175,0.3365223568677902,0.8621086478233337,0.3989013731479645
11,0.8571117,0.3376501131057739,0.8621246218681335,0.4371175765991211
12,0.8617855,0.32498720049858093,0.864851176738739,0.372930645942688
13,0.86191505,0.33017036616802214,0.8644236326217651,0.3296942412853241
14,0.86037046,0.33089547157287597,0.8652250170707703,0.3827657401561737
15,0.8691082,0.31110978066921235,0.8701743483543396,0.34525954723358154
16,0.8713429,0.3092440539598465,0.8677425384521484,0.3517935276031494
17,0.87558216,0.29878485202789307,0.8811618089675903,0.28460466861724854
18,0.87931293,0.2888842397928238,0.8666185736656189,0.3205667734146118
19,0.8746561,0.29602596640586853,0.8814282417297363,0.33261922001838684
20,0.8635687,0.32091502130031585,0.8677372336387634,0.4059502184391022
21,0.87121886,0.3049851381778717,0.8751515746116638,0.26181331276893616
22,0.8798445,0.2883686524629593,0.8838890790939331,0.3444651663303375
23,0.8811202,0.286648171544075,0.8820554614067078,0.24483954906463623
24,0.8784615,0.2904600977897644,0.8783531785011292,0.3158561885356903
25,0.88444364,0.2773819035291672,0.8907875418663025,0.25914180278778076
26,0.88832694,0.2704656821489334,0.8882089257240295,0.28486788272857666
27,0.8884938,0.2691299644112587,0.890828549861908,0.17664040625095367
28,0.8940509,0.25768332451581955,0.896869421005249,0.24798519909381866
29,0.8928537,0.26174809396266935,0.896589457988739,0.2817375957965851
30,0.89513713,0.25718148589134215,0.8949902057647705,0.2996838390827179
31,0.89852774,0.24807080686092375,0.8999080657958984,0.21693967282772064
32,0.89819175,0.24813112437725068,0.8880533576011658,0.3124220073223114
33,0.8932615,0.2616899847984314,0.9008018970489502,0.2729211747646332
34,0.8996683,0.2459536749124527,0.9039371013641357,0.19063782691955566
35,0.90277636,0.23915929436683656,0.9085707664489746,0.25176143646240234
36,0.90551054,0.232177252471447,0.9055410623550415,0.26401978731155396
